pipeline,model,RMSE,MAE
A,LightGBM,0.46784337372421564,0.36454788393480914
A,XGBoost,0.47031799725427265,0.3665178645255643
A,CatBoost,0.4770670426031282,0.3724434117977533
B,GradientBoosting,0.4810079794195306,0.37605977664039897
B,Ridge,0.48735659266380316,0.3796860102641597
B,LinearRegression,0.48736448730954585,0.37972264055026783
B,MLPRegressor,0.49107597599211644,0.38988265818516465
B,Lasso,0.494604962831971,0.38345475594990647
B,RandomForest,0.5395791118623594,0.3985594205471786
B,ExtraTrees,0.5735055830992379,0.4068697807239976
